PÁ;Lado;Area;Posição;Ra;Rz;Rq
1;1;1;1;0.15;1.12;0.19
1;1;1;2;0.25;1.03;0.33
1;1;1;3;0.31;1.7;0.41
1;1;1;4;0.44;2.44;0.57
1;1;1;5;0.38;1.54;0.51
1;1;1;6;0.24;1.33;0.31
1;1;1;7;0.17;0.92;0.22
1;1;1;8;2.54;13.41;3.45
1;1;2;1;0.24;2.79;0.34
1;1;2;2;0.13;0.59;0.15
1;1;2;3;0.13;0.62;0.15
1;1;2;4;0.17;0.96;0.2
1;1;2;5;0.2;0.85;0.24
1;1;2;6;0.15;0.75;0.18
1;1;2;7;0.17;0.66;0.2
1;1;2;8;0.11;0.62;0.14
1;1;3;1;0.18;1.03;0.23
1;1;3;2;0.32;1.46;0.44
1;1;3;3;0.14;0.72;0.18
1;1;3;4;0.18;0.95;0.23
1;1;3;5;0.11;0.59;0.13
1;1;3;6;1.34;4.57;1.69
1;1;3;7;0.32;1.17;0.38
1;1;3;8;2.17;13.48;3.1
1;2;1;1;0.6;3.17;0.8
1;2;1;2;1.07;3.45;1.26
1;2;1;3;0.36;1.52;0.45
1;2;1;4;0.82;3.31;1.03
1;2;1;5;0.34;1.44;0.42
1;2;1;6;0.34;1.28;0.43
1;2;1;7;0.32;1.4;0.39
1;2;1;8;0.61;2.61;0.8
1;2;2;1;2.96;12.28;4.08
1;2;2;2;0.17;1.65;0.23
1;2;2;3;0.12;0.45;0.15
1;2;2;4;2.26;8.18;2.69
1;2;2;5;0.49;1.94;0.56
1;2;2;6;0.61;2.41;0.72
1;2;2;7;0.22;1.31;0.31
1;2;2;8;0.11;1.11;0.16
1;2;3;1;0.46;1.38;0.54
1;2;3;2;0.13;0.51;0.16
1;2;3;3;0.17;0.59;0.19
1;2;3;4;0.17;0.71;0.22
1;2;3;5;1.41;6.37;1.79
1;2;3;6;0.14;0.65;0.17
1;2;3;7;0.22;1.11;0.27
1;2;3;8;0.22;0.67;0.25
2;1;1;1;4.22;22.85;5.35
2;1;1;2;1.05;5.67;1.31
2;1;1;3;1.63;8.81;2.01
2;1;1;4;1.16;6.12;1.4
2;1;1;5;1.81;9.87;2.4
2;1;1;6;0.91;5.09;1.12
2;1;1;7;1.3;6.68;1.71
2;1;1;8;1.66;8.36;2.02
2;1;2;1;0.91;5.99;1.17
2;1;2;2;1.06;5.84;1.33
2;1;2;3;1.09;6.69;1.42
2;1;2;4;1.68;8.86;2.1
2;1;2;5;0.73;3.9;0.91
2;1;2;6;1.66;7.43;2.02
2;1;2;7;0.79;4.56;0.99
2;1;2;8;0.84;4.79;1.08
2;1;3;1;1.51;7.98;1.93
2;1;3;2;1.88;9.04;2.37
2;1;3;3;1.47;8.73;1.88
2;1;3;4;1.35;6.96;1.7
2;1;3;5;5.09;26.16;6.62
2;1;3;6;0.94;4.63;1.15
2;1;3;7;1.25;6.51;1.53
2;1;3;8;1.63;9;2.26
2;2;1;1;2.96;16.71;3.7
2;2;1;2;1.03;6.97;1.37
2;2;1;3;1.58;8.5;1.97
2;2;1;4;5.88;27.42;7.47
2;2;1;5;0.75;4.89;0.94
2;2;1;6;0.83;5.18;1.04
2;2;1;7;0.66;3.86;0.81
2;2;1;8;0.59;4.07;0.76
2;2;2;1;1.09;8.24;1.56
2;2;2;2;1.09;7.36;1.42
2;2;2;3;1.47;9.22;1.98
2;2;2;4;2.44;22.6;3.77
2;2;2;5;4.17;20.85;5.51
2;2;2;6;1.2;6.37;1.47
2;2;2;7;0.72;4.62;0.91
2;2;2;8;0.69;4.41;0.89
2;2;3;1;0.91;5.43;1.13
2;2;3;2;1.4;8.01;1.84
2;2;3;3;0.84;4.85;1.09
2;2;3;4;0.89;5.24;1.1
2;2;3;5;0.98;5.36;1.21
2;2;3;6;2.35;18.11;3.46
2;2;3;7;1.26;7.46;1.66
2;2;3;8;0.71;3.97;0.87
1;1;1;1;0.15;1.75;0.22
1;1;1;2;0.18;0.81;0.22
1;1;1;3;0.83;5.18;1.22
1;1;1;4;0.29;1.51;0.36
1;1;1;5;0.89;4.46;1.26
1;1;1;6;0.77;3.56;1.11
1;1;1;7;0.36;1.91;0.48
1;1;1;8;0.5;2.67;0.7
1;1;2;1;0.32;3.08;0.45
1;1;2;2;0.87;3.46;1.16
1;1;2;3;0.16;1.08;0.2
1;1;2;4;0.23;1.21;0.28
1;1;2;5;0.12;0.89;0.16
1;1;2;6;0.23;1.03;0.27
1;1;2;7;0.1;0.54;0.12
1;1;2;8;0.16;0.81;0.19
1;1;3;1;0.1;0.72;0.16
1;1;3;2;0.08;0.61;0.1
1;1;3;3;0.27;1.04;0.33
1;1;3;4;0.16;0.83;0.19
1;1;3;5;0.15;0.85;0.19
1;1;3;6;0.25;1.18;0.3
1;1;3;7;0.15;0.77;0.19
1;1;3;8;0.19;0.88;0.24
1;2;1;1;3.85;24.74;5.77
1;2;1;2;0.3;1.23;0.37
1;2;1;3;0.3;0.76;0.33
1;2;1;4;1.78;6.76;2.13
1;2;1;5;0.8;3.48;0.98
1;2;1;6;1.08;3.56;1.38
1;2;1;7;1.51;6.36;1.93
1;2;1;8;0.4;1.86;0.55
1;2;2;1;0.33;2.77;0.45
1;2;2;2;1.88;7.32;2.54
1;2;2;3;1.63;5.65;2.02
1;2;2;4;0.22;0.97;0.27
1;2;2;5;0.37;1.54;0.43
1;2;2;6;4.23;17.2;5.26
1;2;2;7;0.54;1.81;0.67
1;2;2;8;0.8;2.93;1.03
1;2;3;1;1.17;3.91;1.58
1;2;3;2;2.61;13.65;3.75
1;2;3;3;3.92;13.08;4.61
1;2;3;4;2;9.49;2.75
1;2;3;5;0.1;0.48;0.13
1;2;3;6;1.56;7.95;2.11
1;2;3;7;0.14;0.43;0.16
1;2;3;8;0.08;0.6;0.12
2;1;1;1;5.76;44.63;8.4
2;1;1;2;1.23;6.23;1.51
2;1;1;3;4.03;23.32;5.32
2;1;1;4;1.28;7.01;1.61
2;1;1;5;4.78;31.34;6.84
2;1;1;6;8.73;48.13;12.75
2;1;1;7;0.97;5.07;1.21
2;1;1;8;1.76;7.58;2.15
2;1;2;1;1.83;13.71;2.37
2;1;2;2;4.24;30.84;6.01
2;1;2;3;1.1;6.06;1.37
2;1;2;4;4.16;23.49;5.35
2;1;2;5;1.64;8.08;2.01
2;1;2;6;2.02;12.05;2.64
2;1;2;7;2.17;17.66;2.79
2;1;2;8;1.14;5.7;1.37
2;1;3;1;1.54;7.84;1.92
2;1;3;2;3.58;21.18;4.62
2;1;3;3;3.87;34.76;6.49
2;1;3;4;1.36;6.92;1.75
2;1;3;5;2.20;11.6;2.87
2;1;3;6;1.81;6.99;2.26
2;1;3;7;2.3;11.15;2.95
2;1;3;8;1.05;5.26;1.33
2;2;1;1;0.79;5.08;1
2;2;1;2;4.61;31.96;6.68
2;2;1;3;8.18;39.81;10.06
2;2;1;4;3.48;17.73;4.15
2;2;1;5;3.81;19.04;4.61
2;2;1;6;1.1;7.32;1.44
2;2;1;7;1.13;5.33;1.33
2;2;1;8;0.62;3.9;0.78
2;2;2;1;1.44;9.41;1.88
2;2;2;2;0.69;4.18;0.86
2;2;2;3;7.09;43.2;9.38
2;2;2;4;0.96;4.84;1.14
2;2;2;5;1.09;5.91;1.34
2;2;2;6;0.67;3.87;0.82
2;2;2;7;2.45;27.04;3.96
2;2;2;8;4.56;19.49;5.3
2;2;3;1;3.27;15.19;3.87
2;2;3;2;3.43;17.25;4.25
2;2;3;3;0.9;5.52;1.14
2;2;3;4;2.49;13.75;3.01
2;2;3;5;1;5.22;1.2
2;2;3;6;3.45;14.43;4.11
2;2;3;7;5.9;28.52;7.2
2;2;3;8;3.72;17.89;4.6
1;1;1;1;0.14;0.73;0.17
1;1;1;2;0.12;1.09;0.18
1;1;1;3;1.88;10.39;2.64
1;1;1;4;0.3;1.68;0.4
1;1;1;5;0.18;0.75;0.22
1;1;1;6;0.19;0.94;0.24
1;1;1;7;0.8;3.66;1.08
1;1;1;8;0.25;1.08;0.31
1;1;2;1;0.17;1.21;0.25
1;1;2;2;0.19;1.19;0.24
1;1;2;3;0.22;1.12;0.28
1;1;2;4;0.24;1.07;0.3
1;1;2;5;0.11;0.55;0.14
1;1;2;6;0.19;1.53;0.27
1;1;2;7;0.12;0.61;0.15
1;1;2;8;1.87;12.03;2.99
1;1;3;1;0.36;2.23;0.53
1;1;3;2;0.07;0.46;0.09
1;1;3;3;0.09;0.45;0.11
1;1;3;4;0.13;0.74;0.16
1;1;3;5;0.11;0.63;0.13
1;1;3;6;0.16;0.79;0.2
1;1;3;7;0.25;1.34;0.31
1;1;3;8;2.15;14.03;3.37
1;2;1;1;2.13;6.12;2.47
1;2;1;2;0.85;3.29;1.1
1;2;1;3;0.6;1.33;0.67
1;2;1;4;4.64;18.78;5.74
1;2;1;5;0.88;3.3;1.04
1;2;1;6;0.27;1.13;0.34
1;2;1;7;0.34;1.69;0.45
1;2;1;8;0.19;0.72;0.22
1;2;2;1;1.91;8.44;2.71
1;2;2;2;0.39;1.5;0.56
1;2;2;3;1.74;4.84;2.18
1;2;2;4;0.58;2.35;0.69
1;2;2;5;0.18;1.04;0.23
1;2;2;6;0.72;3.19;0.92
1;2;2;7;2.96;15.45;4.51
1;2;2;8;1.33;6.24;1.73
1;2;3;1;0.65;3.06;0.8
1;2;3;2;1.22;3.57;1.4
1;2;3;3;0.28;1.14;0.34
1;2;3;4;0.11;0.4;0.13
1;2;3;5;0.21;0.67;0.23
1;2;3;6;0.83;2.36;0.97
1;2;3;7;0.11;0.37;0.13
1;2;3;8;0.17;0.8;0.22
2;1;1;1;5.12;25.78;6.2
2;1;1;2;5.24;33.17;7.06
2;1;1;3;3.83;21.83;4.86
2;1;1;4;3.08;17.25;3.77
2;1;1;5;6.33;31.59;7.69
2;1;1;6;4.32;20.29;5.14
2;1;1;7;1.11;7.13;1.53
2;1;1;8;6.32;26.33;7.37
2;1;2;1;7.34;35.11;9.12
2;1;2;2;2.25;14.24;3.06
2;1;2;3;3.17;17.04;3.92
2;1;2;4;2.52;14.55;3.31
2;1;2;5;1.81;9.63;2.47
2;1;2;6;3.63;27.41;5.71
2;1;2;7;1.16;5.97;1.42
2;1;2;8;2.11;13.55;3.18
2;1;3;1;1.56;7.59;1.92
2;1;3;2;4.18;21.75;5.17
2;1;3;3;1.36;7.71;1.72
2;1;3;4;3.96;21.64;5.26
2;1;3;5;0.91;5.18;1.26
2;1;3;6;1.63;7.74;2.09
2;1;3;7;2.06;8.74;2.41
2;1;3;8;1.29;7.05;1.59
2;2;1;1;1.01;6.14;1.27
2;2;1;2;2;11.05;2.46
2;2;1;3;5.98;28.15;7.22
2;2;1;4;7.71;37.16;9.46
2;2;1;5;5.63;29.23;6.93
2;2;1;6;0.78;4.45;0.96
2;2;1;7;1.18;6.38;1.46
2;2;1;8;0.81;4.34;0.98
2;2;2;1;6.08;30.7;7.96
2;2;2;2;7.14;41;8.97
2;2;2;3;3.51;22.58;4.68
2;2;2;4;0.95;5.35;1.17
2;2;2;5;0.98;5.16;1.23
2;2;2;6;0.71;5;0.93
2;2;2;7;4.03;27.95;5.86
2;2;2;8;5.52;25.71;7.43
2;2;3;1;5.05;26.3;6.39
2;2;3;2;2.27;14.99;2.94
2;2;3;3;4.93;22.02;5.9
2;2;3;4;1.13;5.39;1.38
2;2;3;5;2.39;12.11;2.94
2;2;3;6;1.25;6.6;1.56
2;2;3;7;5.02;21.89;6.03
2;2;3;8;7.22;28;8.45
1;1;1;1;0.25;1.06;0.3
1;1;1;2;1.17;5.44;1.68
1;1;1;3;0.27;1.63;0.34
1;1;1;4;0.46;1.92;0.55
1;1;1;5;0.17;0.9;0.23
1;1;1;6;0.18;0.89;0.21
1;1;1;7;1.58;9.87;2.44
1;1;1;8;0.17;0.8;0.21
1;1;2;1;0.11;0.95;0.15
1;1;2;2;0.16;0.95;0.19
1;1;2;3;0.3;1.46;0.36
1;1;2;4;0.36;1.48;0.49
1;1;2;5;2.92;18.6;4.43
1;1;2;6;0.13;0.66;0.16
1;1;2;7;0.25;1.46;0.31
1;1;2;8;0.11;0.92;0.16
1;1;3;1;0.2;0.91;0.24
1;1;3;2;0.1;0.54;0.13
1;1;3;3;0.21;0.98;0.25
1;1;3;4;0.09;0.52;0.11
1;1;3;5;0.21;0.99;0.28
1;1;3;6;0.15;0.83;0.19
1;1;3;7;0.19;0.87;0.23
1;1;3;8;0.23;1.05;0.28
1;2;1;1;5.59;18.93;7.16
1;2;1;2;0.17;0.61;0.2
1;2;1;3;0.51;3.64;0.71
1;2;1;4;1.39;5.79;1.69
1;2;1;5;1.47;5.2;1.7
1;2;1;6;2;10.71;3.08
1;2;1;7;0.31;1.37;0.37
1;2;1;8;0.24;2.06;0.36
1;2;2;1;3.66;15.78;4.98
1;2;2;2;0.18;1.04;0.25
1;2;2;3;1.75;4.22;2.06
1;2;2;4;1.04;3.86;1.3
1;2;2;5;0.64;2.73;0.81
1;2;2;6;0.09;0.38;0.1
1;2;2;7;0.39;1.15;0.48
1;2;2;8;0.08;0.37;0.1
1;2;3;1;0.49;2.25;0.63
1;2;3;2;0.92;2.48;1.09
1;2;3;3;0.5;2.09;0.66
1;2;3;4;0.26;0.89;0.31
1;2;3;5;0.1;0.53;0.14
1;2;3;6;0.18;0.76;0.24
1;2;3;7;2.06;7.36;2.55
1;2;3;8;0.84;3.24;1.05
2;1;1;1;3.09;24.3;4.64
2;1;1;2;2.88;16.93;3.64
2;1;1;3;1.48;8.11;1.85
2;1;1;4;3.84;19.85;4.76
2;1;1;5;3.89;18.37;4.75
2;1;1;6;1.2;6.32;1.44
2;1;1;7;2.66;13.47;3.2
2;1;1;8;1.47;7.36;1.85
2;1;2;1;1.43;9.03;1.84
2;1;2;2;1.31;8.19;1.78
2;1;2;3;1.12;6.16;1.36
2;1;2;4;1.13;6.32;1.41
2;1;2;5;3.64;17.98;4.42
2;1;2;6;0.61;3.48;0.75
2;1;2;7;1.69;10.05;2.13
2;1;2;8;7.57;39.85;11.11
2;1;3;1;5.46;27.76;7.14
2;1;3;2;0.99;5.58;1.21
2;1;3;3;4.12;18.51;4.97
2;1;3;4;1.86;7.62;2.19
2;1;3;5;0.59;3.47;0.73
2;1;3;6;0.75;3.91;0.9
2;1;3;7;2.13;10.12;3.16
2;1;3;8;1.93;10.02;2.57
2;2;1;1;5.3;34.56;7.56
2;2;1;2;1.73;8.6;2.1
2;2;1;3;0.95;6.17;1.22
2;2;1;4;4.08;20.03;4.9
2;2;1;5;5.22;22.98;6.39
2;2;1;6;5.28;25.15;6.31
2;2;1;7;0.64;3.91;0.8
2;2;1;8;2.62;15.25;3.29
2;2;2;1;0.88;5.07;1.09
2;2;2;2;6.81;36.29;8.82
2;2;2;3;1.41;7.62;1.77
2;2;2;4;0.67;3.72;0.84
2;2;2;5;1.24;6.86;1.5
2;2;2;6;0.92;5.08;1.14
2;2;2;7;1.12;4.9;1.29
2;2;2;8;0.58;3.9;0.74
2;2;3;1;4.36;22.18;5.42
2;2;3;2;0.97;6.07;1.24
2;2;3;3;2.72;20.98;3.76
2;2;3;4;1.55;10.51;2.09
2;2;3;5;2.87;13.79;3.53
2;2;3;6;0.83;4.11;1.03
2;2;3;7;0.82;4.86;1.04
2;2;3;8;1.33;6.83;1.75
1;1;1;1;0.2;0.87;0.24
1;1;1;2;0.15;0.77;0.18
1;1;1;3;0.28;1.32;0.34
1;1;1;4;0.24;1.2;1.28
1;1;1;5;0.08;0.67;0.1
1;1;1;6;0.84;4.4;1.17
1;1;1;7;0.23;1.33;0.28
1;1;1;8;0.15;1.91;0.22
1;1;2;1;0.29;1.14;0.37
1;1;2;2;0.14;1.11;0.18
1;1;2;3;0.3;2.22;0.39
1;1;2;4;0.11;0.6;0.14
1;1;2;5;0.12;0.54;0.14
1;1;2;6;0.14;0.56;0.17
1;1;2;7;0.12;1.16;0.17
1;1;2;8;0.2;0.72;0.24
1;1;3;1;0.13;0.63;0.16
1;1;3;2;0.12;0.86;0.17
1;1;3;3;0.18;0.9;0.23
1;1;3;4;0.15;0.79;0.18
1;1;3;5;0.27;2.06;0.43
1;1;3;6;0.25;1.18;0.3
1;1;3;7;0.19;1.06;0.23
1;1;3;8;2.27;12.83;3.1
1;2;1;1;0.22;1.52;0.28
1;2;1;2;0.36;1.46;0.45
1;2;1;3;0.49;2.33;0.66
1;2;1;4;0.29;1.62;0.34
1;2;1;5;0.51;2.25;0.62
1;2;1;6;0.61;2.43;0.72
1;2;1;7;0.36;1.23;0.41
1;2;1;8;2.36;8.12;2.96
1;2;2;1;0.09;0.65;0.11
1;2;2;2;0.08;0.94;0.13
1;2;2;3;0.1;0.49;0.11
1;2;2;4;0.09;0.44;0.11
1;2;2;5;0.28;1.24;0.35
1;2;2;6;0.2;0.97;0.25
1;2;2;7;1.86;10.04;2.62
1;2;2;8;0.07;0.35;0.08
1;2;3;1;0.32;1.62;0.41
1;2;3;2;0.96;3.13;1.14
1;2;3;3;2.22;9.38;2.84
1;2;3;4;0.58;1.67;0.68
1;2;3;5;0.6;2.34;0.75
1;2;3;6;0.6;1.87;0.75
1;2;3;7;0.14;0.61;0.18
1;2;3;8;3.43;18.16;5.05
2;1;1;1;0.83;5.02;1.06
2;1;1;2;3.88;19.59;4.79
2;1;1;3;0.82;4.16;1
2;1;1;4;1.59;9.16;2.02
2;1;1;5;1.02;5.7;1.29
2;1;1;6;1.31;6.63;1.62
2;1;1;7;3.63;23.58;5.01
2;1;1;8;1.37;8.04;1.78
2;1;2;1;1.2;8;1.56
2;1;2;2;1.16;7.06;1.56
2;1;2;3;1.49;7.01;1.79
2;1;2;4;1.26;6.72;1.57
2;1;2;5;7.38;39.51;9.79
2;1;2;6;3.61;20.37;4.54
2;1;2;7;8.42;41.07;10.76
2;1;2;8;1.06;5.32;1.29
2;1;3;1;3.87;21.59;4.94
2;1;3;2;1.19;6.51;1.49
2;1;3;3;3.05;14.42;3.7
2;1;3;4;1;6.11;1.26
2;1;3;5;1.47;8.46;1.99
2;1;3;6;2.63;22.81;3.95
2;1;3;7;1.13;5.57;1.39
2;1;3;8;1.53;7.59;1.96
2;2;1;1;0.75;4.53;0.92
2;2;1;2;0.79;5.14;1.01
2;2;1;3;0.6;3.78;0.75
2;2;1;4;0.8;5.13;1.01
2;2;1;5;1.03;5.71;1.31
2;2;1;6;0.94;4.99;1.16
2;2;1;7;5.7;27.94;7.07
2;2;1;8;7.09;34.44;8.95
2;2;2;1;0.99;5.99;1.28
2;2;2;2;0.84;5.54;1.05
2;2;2;3;4.33;28.22;5.94
2;2;2;4;0.88;5.47;1.15
2;2;2;5;0.59;3.87;0.75
2;2;2;6;1.01;6.2;1.26
2;2;2;7;0.6;3.57;0.74
2;2;2;8;0.49;2.9;0.61
2;2;3;1;0.8;4.56;0.98
2;2;3;2;0.81;4.82;1.05
2;2;3;3;0.72;3.26;0.84
2;2;3;4;0.56;2.67;0.67
2;2;3;5;1.06;6.16;1.34
2;2;3;6;0.61;3.78;0.76
2;2;3;7;1.47;7.2;1.86
2;2;3;8;0.78;3.92;0.94
